Disease	colorectal cancer	Rank_colorectal cancer
HG02392	0.7661	0.1558
HG02394	0.8015	0.1849
HG02395	0.8033	0.1873
HG02396	0.7482	0.139
HG02397	0.5804	0.0511
HG02398	0.95	0.3111
HG02399	1.3302	0.6234
HG02401	1.6717	0.8067
HG02402	0.9393	0.3031
HG02406	0.5088	0.0244
HG02407	1.0981	0.4349
HG02408	2.0817	0.9042
HG02409	1.3567	0.641
HG02410	0.6751	0.0938
HG02419	2.0212	0.895
HG02420	3.0849	0.982
HG02425	0.5658	0.0455
HG02427	1.0107	0.3574
HG02429	1.1367	0.4673
HG02433	1.764	0.8387
HG02439	1.1019	0.4385
HG02442	0.7131	0.1162
HG02445	1.5154	0.74
HG02449	1.1373	0.4685
HG02450	1.0323	0.3782
HG02455	1	0.347
HG02461	0.8294	0.2101
HG02462	1.1023	0.4393
HG02464	0.6643	0.0887
HG02465	1.095	0.4333
HG02470	2.4311	0.9505
HG02471	1.8353	0.8574
HG02476	1.0459	0.3902
HG02477	1.4122	0.6857
HG02479	1.2496	0.5627
HG02481	0.9418	0.3043
HG02484	0.8209	0.2037
HG02485	0.8378	0.2161
HG02489	1.0636	0.4046
HG02490	8.6794	0.9996
HG02491	3.1434	0.984
HG02493	1.1313	0.4629
HG02494	0.9049	0.2708
HG02496	1.0367	0.3822
HG02497	1.335	0.6266
HG02501	2.5985	0.9625
HG02502	1.3896	0.6681
HG02505	1.3702	0.6522
HG02508	1.2259	0.5479
HG02511	4.0779	0.996
HG02512	1.1187	0.4529
HG02513	0.4564	0.0128
HG02521	0.3731	0.004
HG02522	0.9105	0.2768
HG02536	0.8858	0.2532
HG02537	1.7479	0.8335
HG02541	1.3205	0.6146
HG02545	1.9296	0.8782
HG02546	1.1356	0.4665
HG02549	1.1009	0.4361
HG02554	1.2073	0.5304
HG02555	2.0181	0.8934
HG02557	1.3232	0.6178
HG02558	0.842	0.2185
HG02561	0.7974	0.1817
HG02562	1.1515	0.4804
HG02568	2.1477	0.9169
HG02570	0.9752	0.3287
HG02571	1.0543	0.3982
HG02573	0.9521	0.3123
HG02574	0.842	0.2185
HG02577	2.264	0.9329
HG02580	1.1037	0.4421
HG02582	0.9405	0.3035
HG02583	1.6824	0.8107
HG02585	1.4379	0.6985
HG02586	3.1387	0.9836
HG02588	1.5409	0.7508
HG02589	1.8933	0.8682
HG02594	0.8134	0.1965
HG02595	0.6175	0.0631
HG02597	0.772	0.1597
HG02600	0.8497	0.2236
HG02601	1.55	0.7568
HG02603	1.6217	0.7855
HG02604	1.1484	0.4752
HG02610	1.13	0.4597
HG02611	0.5904	0.0539
HG02613	0.9425	0.3055
HG02614	1.0813	0.4245
HG02620	0.7779	0.1669
HG02621	1.3827	0.6617
HG02623	1.8353	0.8574
HG02624	1.3233	0.6186
HG02628	1.2882	0.5931
HG02629	1.2997	0.603
HG02634	1.037	0.383
HG02635	0.8609	0.2352
HG02642	1.3338	0.6258
HG02643	1.0636	0.4046
HG02645	0.9912	0.3407
HG02646	2.1094	0.9117
HG02648	1.0034	0.3526
HG02649	1.221	0.5443
HG02651	1.5025	0.7324
HG02652	1.704	0.8179
HG02654	1.9742	0.8858
HG02655	2.1288	0.9145
HG02657	1.759	0.8355
HG02658	0.8583	0.2324
HG02660	1.0866	0.4293
HG02661	1.8049	0.8494
HG02666	1.2019	0.5248
HG02667	1.8838	0.8662
HG02675	1.5294	0.7472
HG02676	1.9071	0.873
HG02678	1.0241	0.369
HG02679	0.8547	0.2296
HG02681	1.9346	0.879
HG02682	2.3574	0.9425
HG02684	2.2593	0.9321
HG02685	1.0587	0.4022
HG02687	1.5714	0.7644
HG02688	2.4074	0.9493
HG02690	3.542	0.9928
HG02691	1.4788	0.72
HG02694	0.9079	0.2724
HG02696	1.1404	0.4708
HG02697	1.6696	0.8047
HG02699	1.0273	0.3706
HG02700	0.843	0.2208
HG02702	1.3827	0.6617
HG02703	1.0636	0.4046
HG02715	0.983	0.3335
HG02716	1.5072	0.736
HG02721	1.5873	0.7696
HG02722	1.2197	0.5427
HG02724	2.398	0.9481
HG02725	1.3431	0.6294
HG02727	0.8741	0.2448
HG02728	1.1497	0.4772
HG02731	1.376	0.6565
HG02733	2.5495	0.9605
HG02734	1.482	0.7228
HG02736	0.9751	0.3283
HG02737	0.8679	0.2408
HG02756	0.7089	0.113
HG02757	0.8294	0.2101
HG02759	0.9248	0.2871
HG02760	1.1348	0.4649
HG02763	2.5124	0.9581
HG02768	1.1175	0.4505
HG02769	1.2125	0.5351
HG02771	1.8353	0.8574
HG02772	1.1023	0.4393
HG02774	2.004	0.8918
HG02775	0.7365	0.131
HG02778	0.8015	0.1849
HG02780	1.5856	0.7692
HG02783	1.2147	0.5395
HG02784	0.8161	0.1993
HG02786	0.9213	0.2855
HG02787	1.3507	0.6334
HG02789	1.3115	0.609
HG02790	0.9682	0.3243
HG02792	1.0652	0.4097
HG02793	0.5528	0.0375
HG02798	1.516	0.7404
HG02799	1.8744	0.865
HG02804	1.3096	0.6078
HG02805	1.3223	0.617
HG02807	1.2652	0.5735
HG02808	1.0385	0.3846
HG02810	0.9954	0.3435
HG02811	0.8542	0.2288
HG02813	1.1599	0.4876
HG02814	1.3582	0.6446
HG02816	1.2327	0.5499
HG02817	0.7981	0.1821
HG02819	1.2	0.5228
HG02820	1.2959	0.5986
HG02836	1.3995	0.6765
HG02837	1.2327	0.5499
HG02839	1.2882	0.5931
HG02840	1.4183	0.6889
HG02851	0.9339	0.2987
HG02852	0.7529	0.1446
HG02854	1.0273	0.3706
HG02855	1.1238	0.4553
HG02860	1.404	0.6781
HG02861	0.834	0.2125
HG02870	2.1907	0.9225
HG02878	0.9094	0.274
HG02879	0.8732	0.2432
HG02881	1.7018	0.8171
HG02882	1.4379	0.6985
HG02884	2.1161	0.9129
HG02885	1.2382	0.5547
HG02887	1.0478	0.3938
HG02888	1.262	0.5707
HG02890	1.2125	0.5351
HG02891	1.1037	0.4421
HG02895	1.4551	0.7085
HG02896	1.5072	0.736
HG02922	1.3221	0.6158
HG02923	1.5483	0.7548
HG02938	0.9257	0.2883
HG02941	0.8055	0.1905
HG02943	0.9912	0.3407
HG02944	2.3912	0.9477
HG02946	1.2811	0.5871
HG02947	1.3917	0.6693
HG02952	0.5614	0.0435
HG02953	0.8999	0.2652
HG02968	1.2191	0.5419
HG02970	0.7652	0.155
HG02971	1.6598	0.7999
HG02973	0.9957	0.3442
HG02974	0.9276	0.2907
HG02976	1.4053	0.6801
HG02977	1.1348	0.4649
HG02979	0.8192	0.2005
HG02981	1.277	0.5835
HG02982	0.9953	0.3431
HG02983	1.4436	0.7033
HG03006	2.096	0.9081
HG03007	1.734	0.8267
HG03009	2.1956	0.9233
HG03012	0.9737	0.3271
HG03015	1.2948	0.597
HG03016	3.2444	0.9864
HG03018	1.6895	0.8131
HG03019	0.4923	0.0204
HG03021	0.8201	0.2017
HG03022	2.3264	0.9401
HG03024	1.175	0.5024
HG03025	0.7727	0.1605
HG03027	0.9359	0.3015
HG03028	0.9758	0.3303
HG03039	1.0909	0.4313
HG03040	1.3689	0.651
HG03045	1.9332	0.8786
HG03046	2.2717	0.9349
HG03048	1.0367	0.3822
HG03049	0.9101	0.276
HG03052	1.0468	0.393
HG03054	1.1526	0.4832
HG03055	1.0744	0.4201
HG03057	1.171	0.4976
HG03058	1.0364	0.381
HG03060	1.0633	0.4042
HG03061	1.6669	0.8027
HG03063	0.9682	0.3243
HG03064	1.0273	0.3706
HG03066	0.9605	0.3191
HG03069	1.2019	0.5248
HG03072	1.0183	0.3622
HG03073	1.4137	0.6865
HG03074	1.4032	0.6777
HG03077	1.2811	0.5871
HG03078	1.3161	0.6126
HG03079	1.2544	0.5667
HG03081	1.1945	0.5188
HG03082	0.9425	0.3055
HG03084	0.705	0.1098
HG03085	1.0175	0.3618
HG03086	0.7571	0.1486
HG03088	0.8417	0.2173
HG03091	1.4276	0.6949
HG03095	1.356	0.6402
HG03096	1.5386	0.75
HG03097	1.0703	0.4133
HG03099	0.8264	0.2077
HG03100	1.1207	0.4545
HG03103	2.7548	0.9685
HG03105	1.257	0.5691
HG03108	1.5878	0.7704
HG03109	0.9052	0.2712
HG03111	1.0444	0.389
HG03112	1.1301	0.4621
HG03114	1.1815	0.5072
HG03115	0.9287	0.2919
HG03117	1.2881	0.5927
HG03118	0.9264	0.2899
HG03120	1.103	0.4409
HG03121	1.1895	0.5148
HG03123	1.4205	0.6901
HG03124	1.3116	0.6102
HG03126	1.0273	0.3706
HG03127	1.4555	0.7097
HG03129	1.031	0.3762
HG03130	1.7622	0.8371
HG03132	0.744	0.1362
HG03133	1.2141	0.5387
HG03135	0.807	0.1925
HG03136	1.704	0.8179
HG03139	0.8297	0.2113
HG03157	0.8055	0.1905
HG03159	0.765	0.1546
HG03160	1.7436	0.8323
HG03162	1.3204	0.6142
HG03163	1.2019	0.5248
HG03166	2.1663	0.9193
HG03168	0.9529	0.3131
HG03169	0.9287	0.2919
HG03172	1.4385	0.6993
HG03175	1.4677	0.7153
HG03189	0.8294	0.2101
HG03190	1.3233	0.6186
HG03193	1.171	0.4976
HG03195	1.1027	0.4405
HG03196	1.6193	0.7847
HG03198	1.2349	0.5519
HG03199	1.7281	0.8239
HG03202	1.278	0.5851
HG03209	1.2169	0.5411
HG03212	0.619	0.0639
HG03224	0.5743	0.0479
HG03225	0.7727	0.1605
HG03228	1.9684	0.8846
HG03229	2.2747	0.9353
HG03234	0.9328	0.2967
HG03235	1.1094	0.4453
HG03237	1.6803	0.8103
HG03238	1.097	0.4341
HG03240	1.1238	0.4553
HG03241	1.2041	0.528
HG03246	0.8858	0.2532
HG03247	1.2208	0.5435
HG03258	1.4628	0.7125
HG03259	0.9333	0.2975
HG03265	0.9174	0.2812
HG03267	0.6382	0.0747
HG03268	2.4457	0.9517
HG03270	1.5875	0.77
HG03271	1.5483	0.7548
HG03279	1.1711	0.4988
HG03280	1.0734	0.4173
HG03291	1.5075	0.7372
HG03294	1.2	0.5228
HG03295	1.0307	0.375
HG03297	1.2137	0.5383
HG03298	1.3617	0.6474
HG03300	1.3685	0.6502
HG03301	2.0993	0.9085
HG03303	2.0438	0.8994
HG03304	1.3764	0.6573
HG03311	1.3823	0.6609
HG03313	0.9578	0.3155
HG03342	0.9756	0.3295
HG03343	0.7727	0.1605
HG03351	1.1883	0.5124
HG03352	0.8547	0.2296
HG03354	0.7582	0.1502
HG03363	0.9324	0.2955
HG03366	1.2841	0.5911
HG03367	1.1608	0.4888
HG03369	1.5085	0.7376
HG03370	2.0883	0.9062
HG03372	1.1145	0.4485
HG03376	1.0014	0.3506
HG03378	1.0364	0.381
HG03380	1.7283	0.8247
HG03382	1.0646	0.4081
HG03385	1.246	0.5607
HG03388	1.3891	0.6677
HG03391	0.9425	0.3055
HG03394	1.1608	0.4888
HG03397	1.0478	0.3938
HG03401	0.7931	0.1785
HG03410	0.9091	0.2732
HG03419	0.9954	0.3435
HG03428	1.0268	0.3702
HG03432	1.4045	0.6785
HG03433	1.7756	0.8423
HG03436	1.1636	0.4916
HG03437	0.7882	0.1749
HG03439	1.4872	0.7256
HG03442	1.4793	0.7204
HG03445	0.8209	0.2037
HG03446	0.8888	0.2564
HG03449	0.7566	0.147
HG03451	0.8353	0.2145
HG03452	1.1293	0.4593
HG03455	1.3873	0.6669
HG03457	1.0662	0.4105
HG03458	1.17	0.4972
HG03460	0.7727	0.1605
HG03461	1.773	0.8411
HG03464	1.0216	0.3658
HG03469	1.2338	0.5511
HG03470	1.0008	0.3494
HG03472	1.1508	0.4788
HG03473	0.85	0.2244
HG03476	0.5344	0.0331
HG03478	1.5458	0.7528
HG03479	1.718	0.8215
HG03484	1.7878	0.8462
HG03485	1.031	0.3762
HG03488	1.166	0.4944
HG03490	1.2819	0.5883
HG03491	2.3729	0.9453
HG03499	1.3147	0.6122
HG03511	1.2504	0.5631
HG03514	1.6608	0.8007
HG03515	1.4413	0.7013
HG03517	1.6523	0.7967
HG03518	0.7388	0.1318
HG03520	1.7643	0.8391
HG03521	0.9183	0.2827
HG03538	0.8718	0.2428
HG03539	1.242	0.5567
HG03547	1.1487	0.476
HG03548	1.3827	0.6617
HG03556	0.8048	0.1889
HG03557	0.8011	0.1845
HG03558	1.0216	0.3658
HG03559	1.4477	0.7057
HG03563	1.0636	0.4046
HG03565	0.8732	0.2432
HG03567	1.2368	0.5535
HG03571	0.8192	0.2005
HG03572	0.8772	0.2464
HG03575	1.1337	0.4641
HG03577	1.3091	0.6074
HG03578	1.3702	0.6522
HG03583	0.7089	0.113
HG03585	1.9106	0.8738
HG03589	1.8642	0.8634
HG03593	0.9702	0.3259
HG03594	1.2374	0.5539
HG03595	1.5025	0.7324
HG03598	1.2143	0.5391
HG03600	1.0517	0.3958
HG03603	1.684	0.8111
HG03604	1.1721	0.5
HG03607	1.9459	0.8818
HG03611	2.6668	0.9657
HG03615	2.8551	0.974
HG03616	2.7702	0.9704
HG03619	0.7026	0.1086
HG03624	2.7621	0.9692
HG03625	1.5511	0.7576
HG03629	3.3673	0.9888
HG03631	1.4399	0.7005
HG03634	1.412	0.6853
HG03636	1.3954	0.6745
HG03640	1.5209	0.7428
HG03642	1.5838	0.7684
HG03643	1.4951	0.7292
HG03644	1.2707	0.5775
HG03645	0.9841	0.3347
HG03646	1.1982	0.5204
HG03649	1.3856	0.6653
HG03652	1.8073	0.8502
HG03653	1.5908	0.7724
HG03660	1.6996	0.8163
HG03663	1.9537	0.8826
HG03667	3.5815	0.9936
HG03668	1.7328	0.8259
HG03672	1.2014	0.524
HG03673	1.1927	0.5172
HG03679	1.5758	0.7668
HG03680	1.2896	0.5942
HG03681	0.8069	0.1921
HG03684	1.4805	0.722
HG03685	1.0543	0.3982
HG03686	4.9734	0.9984
HG03687	2.4418	0.9513
HG03689	1.2524	0.5647
HG03690	1.3535	0.6374
HG03691	1.1993	0.5216
HG03692	1.4417	0.7017
HG03693	1.5714	0.7644
HG03694	1.1847	0.5096
HG03695	0.7597	0.1518
HG03696	1.9393	0.8798
HG03697	2.0587	0.901
HG03698	1.5025	0.7324
HG03702	0.8662	0.2388
HG03703	1.4956	0.7304
HG03705	1.7129	0.8199
HG03706	1.347	0.6322
HG03708	2.8978	0.9756
HG03709	1.4648	0.7133
HG03711	2.0224	0.8962
HG03713	1.0373	0.3834
HG03714	0.9016	0.2668
HG03716	1.5711	0.764
HG03717	1.9243	0.8774
HG03718	1.2032	0.5268
HG03720	1.7165	0.8203
HG03722	2.5869	0.9617
HG03727	1.4225	0.6913
HG03729	1.8349	0.857
HG03730	1.2746	0.5815
HG03731	1.2032	0.5268
HG03733	0.9595	0.3179
HG03736	1.2706	0.5771
HG03738	1.6553	0.7987
HG03740	1.4286	0.6957
HG03741	1.6741	0.8091
HG03742	2.2755	0.9357
HG03743	1.6064	0.7776
HG03744	1.3139	0.6114
HG03745	1.6326	0.7899
HG03746	1.6689	0.8043
HG03750	2.1113	0.9121
HG03752	1.1784	0.506
HG03753	1.7529	0.8339
HG03754	2.4839	0.9553
HG03755	0.6946	0.105
HG03756	2.318	0.9389
HG03757	2.1008	0.9089
HG03760	1.3051	0.6062
HG03762	3.8439	0.9948
HG03765	0.9099	0.2748
HG03767	1.9028	0.8714
HG03770	2.2538	0.9301
HG03771	1.164	0.4928
HG03772	4.2508	0.9968
HG03773	0.7234	0.1222
HG03774	0.8077	0.1933
HG03775	0.8826	0.2512
HG03777	1.3115	0.609
HG03778	1.395	0.6737
HG03779	0.9324	0.2955
HG03780	1.0191	0.3642
HG03781	1.5976	0.7744
HG03782	1.4662	0.7141
HG03784	2.0735	0.903
HG03785	1.6539	0.7979
HG03786	3.2165	0.9852
HG03787	1.2103	0.5323
HG03788	1.8709	0.8642
HG03789	1.3559	0.6394
HG03790	1.0356	0.3798
HG03792	1.1292	0.4589
HG03793	0.8031	0.1869
HG03796	1.2426	0.5575
HG03800	1.7338	0.8263
HG03802	1.1977	0.52
HG03803	1.6018	0.7768
HG03805	0.9893	0.3387
HG03808	1.1369	0.4681
HG03809	1.1766	0.5036
HG03812	1.1172	0.4501
HG03814	2.1314	0.9157
HG03815	1.0939	0.4329
HG03817	1.6631	0.8015
HG03821	2.9052	0.976
HG03823	1.7372	0.8279
HG03824	0.8898	0.2572
HG03826	0.8939	0.2596
HG03829	1.1724	0.5008
HG03830	1.1111	0.4481
HG03832	2.0616	0.9014
HG03833	1.482	0.7228
HG03836	2.1864	0.9213
HG03837	1.8914	0.8678
HG03838	0.8192	0.2005
HG03844	1.4335	0.6969
HG03846	1.3717	0.6538
HG03848	1.7292	0.8255
HG03849	1.5995	0.7752
HG03850	1.3575	0.643
HG03851	0.7114	0.115
HG03854	2.9812	0.9784
HG03856	1.9804	0.8874
HG03857	1.6575	0.7991
HG03858	1.5495	0.7564
HG03861	2.2675	0.9341
HG03862	1.6605	0.8003
HG03863	1.5714	0.7644
HG03864	0.8575	0.2316
HG03866	1.4743	0.7185
HG03867	3.0107	0.98
HG03868	0.5093	0.0252
HG03869	2.1288	0.9145
HG03870	1.141	0.472
HG03871	1.4768	0.7192
HG03872	1.0468	0.393
HG03873	1.734	0.8267
HG03874	1.9133	0.8742
HG03875	1.2837	0.5903
HG03882	1.521	0.7432
HG03884	2.3658	0.9437
HG03885	1.9028	0.8714
HG03886	1.3681	0.6498
HG03887	4.1441	0.9964
HG03888	3.4956	0.9912
HG03890	2.968	0.978
HG03894	1.4593	0.7113
HG03895	2.2196	0.9281
HG03896	1.5172	0.7416
HG03897	2.2103	0.9265
HG03898	1.5672	0.762
HG03899	0.9595	0.3179
HG03900	0.9779	0.3315
HG03902	2.4612	0.9537
HG03905	1.9844	0.8882
HG03907	1.4741	0.7181
HG03908	2.486	0.9561
HG03910	2.1904	0.9221
HG03911	1.3732	0.655
HG03913	1.895	0.869
HG03914	4.398	0.9976
HG03916	0.8812	0.2504
HG03917	2.9861	0.9792
HG03919	2.3585	0.9429
HG03920	1.0715	0.4145
HG03922	8.9583	1
HG03925	0.7025	0.1082
HG03926	1.5435	0.7516
HG03928	1.2742	0.5807
HG03931	1.673	0.8079
HG03934	1.3937	0.6721
HG03937	1.482	0.7228
HG03940	1.3267	0.6226
HG03941	1.72	0.8223
HG03943	2.0742	0.9034
HG03944	1.7636	0.8383
HG03945	1.3431	0.6294
HG03947	1.0092	0.3562
HG03949	2.1297	0.9153
HG03950	1.4078	0.6837
HG03951	0.9336	0.2983
HG03953	0.8204	0.2029
HG03955	1.0842	0.4265
HG03960	1.0335	0.3794
HG03963	1.994	0.891
HG03965	1.0744	0.4201
HG03967	1.3028	0.605
HG03968	0.7598	0.1522
HG03969	1.189	0.514
HG03971	1.3592	0.6466
HG03973	2.4621	0.9541
HG03974	0.7111	0.1142
HG03976	1.2783	0.5855
HG03977	1.7757	0.8427
HG03978	1.2517	0.5643
HG03985	1.4239	0.6925
HG03986	1.3036	0.6054
HG03989	1.4078	0.6837
HG03990	1.2963	0.5994
HG03991	1.7099	0.8191
HG03995	1.2536	0.5655
HG03998	1.4838	0.7244
HG03999	1.2462	0.5611
HG04001	1.1847	0.5096
HG04002	1.9012	0.871
HG04003	1.807	0.8498
HG04006	0.707	0.111
HG04014	2.2065	0.9261
HG04015	1.1098	0.4465
HG04017	1.1989	0.5212
HG04018	3.5158	0.992
HG04019	1.3954	0.6745
HG04020	1.362	0.6478
HG04022	1.2401	0.5559
HG04023	2.5954	0.9621
HG04025	1.7829	0.845
HG04026	1.8296	0.855
HG04029	2.8203	0.9724
HG04033	1.0032	0.3518
HG04035	1.1883	0.5124
HG04038	2.8389	0.9728
HG04039	1.1884	0.5136
HG04042	3.2778	0.9868
HG04047	1.734	0.8267
HG04054	1.1692	0.4968
HG04056	2.318	0.9389
HG04059	1.4328	0.6965
HG04060	1.3103	0.6086
HG04061	0.911	0.2772
HG04062	2.163	0.9185
HG04063	0.8558	0.2308
HG04070	1.0459	0.3902
HG04075	2.0723	0.9022
HG04076	0.9144	0.2788
HG04080	1.9792	0.8866
HG04090	2.086	0.9058
HG04093	0.9024	0.2692
HG04094	2.633	0.9641
HG04096	2.2115	0.9269
HG04098	0.9923	0.3419
HG04099	0.6822	0.0954
HG04100	1.9795	0.887
HG04106	0.9137	0.2784
HG04107	1.6779	0.8099
HG04118	1.7205	0.8227
HG04131	3.0455	0.9808
HG04134	1.2632	0.5719
HG04140	2.3629	0.9433
HG04141	0.9233	0.2863
HG04144	1.5041	0.7348
HG04146	1.5579	0.76
HG04152	1.8108	0.8518
HG04153	2.2062	0.9257
HG04155	1.0194	0.3654
HG04156	0.6209	0.0651
HG04158	3.3252	0.9884
HG04159	1.5921	0.7732
HG04161	1.1248	0.4565
HG04162	1.2153	0.5403
HG04164	2.6277	0.9637
HG04171	2.2805	0.9361
HG04173	1.2985	0.6018
HG04176	1.4062	0.6817
HG04177	2.024	0.8974
HG04180	1.8088	0.8514
HG04182	2.8851	0.9752
HG04183	1.6519	0.7963
HG04185	1.7078	0.8187
HG04186	1.8974	0.8694
HG04188	1.2715	0.5783
HG04189	2.3889	0.9473
HG04194	1.4475	0.7053
HG04195	1.3262	0.6218
HG04198	1.3861	0.6665
HG04200	2.0237	0.897
HG04202	1.4911	0.7268
HG04206	1.8887	0.8674
HG04209	1.3535	0.6374
HG04210	1.3954	0.6745
HG04211	1.4225	0.6913
HG04212	1.2109	0.5331
HG04214	1.4462	0.7041
HG04216	2.8625	0.9744
HG04219	0.6668	0.0899
HG04222	1.4877	0.726
HG04225	1.2103	0.5323
HG04227	1.8394	0.8598
HG04229	1.971	0.8854
HG04235	1.3523	0.6354
HG04238	1.797	0.847
HG04239	2.0243	0.8978
NA06984	1.1015	0.4373
NA06985	0.7761	0.1645
NA06986	1.1637	0.492
NA06989	0.7938	0.1789
NA06994	1.0591	0.4026
NA07000	2.1809	0.9205
NA07037	1.6072	0.7784
NA07048	2.2123	0.9273
NA07051	1.6107	0.7812
NA07056	1.0705	0.4137
NA07347	1.1747	0.502
NA07357	0.7664	0.1562
NA10847	1.3072	0.607
NA10851	1.4154	0.6873
NA11829	1.7002	0.8167
NA11830	2.256	0.9309
NA11831	1.5733	0.7656
NA11832	0.7664	0.1562
NA11840	1.0846	0.4277
NA11843	0.9425	0.3055
NA11881	0.9635	0.3211
NA11892	0.8664	0.2392
NA11893	1.2445	0.5599
NA11894	0.9132	0.2776
NA11918	1.0761	0.4209
NA11919	1.6144	0.7827
NA11920	1.8216	0.8526
NA11930	0.7266	0.125
NA11931	0.9957	0.3442
NA11932	2.1532	0.9173
NA11933	1.6186	0.7843
NA11992	1.1508	0.4788
NA11994	1.2625	0.5715
NA11995	1.3332	0.6254
NA12003	0.7783	0.1673
NA12004	0.6388	0.0751
NA12005	1.1896	0.5152
NA12006	1.3919	0.6697
NA12043	1.3525	0.6358
NA12044	1.0793	0.4229
NA12045	1.7633	0.8375
NA12046	1.5735	0.766
NA12058	1.2396	0.5555
NA12144	0.5561	0.0391
NA12154	1.0892	0.4301
NA12155	0.8417	0.2173
NA12156	0.7841	0.1709
NA12234	2.0254	0.8982
NA12249	2.7549	0.9688
NA12272	1.1106	0.4473
NA12273	0.9478	0.3103
NA12275	1.3756	0.6562
NA12282	2.1081	0.9113
NA12283	1.3532	0.637
NA12286	1.7976	0.8474
NA12287	1.5326	0.7484
NA12340	0.5402	0.0347
NA12341	2.1026	0.9097
NA12342	0.5147	0.0264
NA12347	1.2783	0.5855
NA12348	0.666	0.0895
NA12383	1.3311	0.6242
NA12399	2.1286	0.9141
NA12400	1.0692	0.4125
NA12413	1.61	0.7796
NA12414	1.2121	0.5339
NA12489	1.6223	0.7859
NA12546	1.6723	0.8075
NA12716	1.6091	0.7792
NA12717	0.9938	0.3423
NA12718	1.6592	0.7995
NA12748	0.8703	0.2412
NA12749	0.9174	0.2812
NA12750	0.6313	0.0707
NA12751	1.0235	0.3686
NA12760	0.6906	0.101
NA12761	0.8555	0.2304
NA12762	2.2925	0.9365
NA12763	0.518	0.0272
NA12775	1.1044	0.4429
NA12776	2.6634	0.9649
NA12777	0.7115	0.1154
NA12778	0.8885	0.256
NA12812	1.5445	0.7524
NA12813	0.9844	0.3351
NA12814	1.2568	0.5687
NA12815	1.1509	0.4796
NA12827	1.9449	0.8814
NA12828	1.3925	0.6705
NA12829	1.7431	0.8315
NA12830	1.3509	0.6338
NA12842	0.5103	0.0256
NA12843	0.786	0.1725
NA12872	1.1243	0.4561
NA12873	0.7569	0.1478
NA12874	2.8394	0.9732
NA12878	0.7794	0.1677
NA12889	1.2148	0.5399
NA12890	0.9323	0.2951
NA18486	1.0183	0.3622
NA18488	1.4195	0.6893
NA18489	1.5767	0.7672
NA18498	0.7463	0.1374
NA18499	0.8521	0.2256
NA18501	1.5697	0.7628
NA18502	1.2125	0.5351
NA18504	1.6342	0.7907
NA18505	1.2929	0.5954
NA18507	0.8644	0.2376
NA18508	0.9969	0.3458
NA18510	1.3521	0.635
NA18511	1.0813	0.4245
NA18516	1.8246	0.8538
NA18517	0.721	0.1218
NA18519	0.9867	0.3363
NA18520	1.0963	0.4337
NA18522	1.1018	0.4381
NA18523	1.2897	0.595
NA18525	0.8539	0.2276
NA18526	1.3362	0.6278
NA18528	1.2543	0.5663
NA18530	1.1531	0.484
NA18531	1.0157	0.3602
NA18532	0.7994	0.1837
NA18533	0.7989	0.1829
NA18534	1.7412	0.8299
NA18535	0.9896	0.3395
NA18536	0.9636	0.3215
NA18537	1.2067	0.53
NA18538	1.6776	0.8095
NA18539	1.541	0.7512
NA18541	1.8046	0.849
NA18542	1.2102	0.5319
NA18543	1.4422	0.7021
NA18544	1.1175	0.4505
NA18545	1.9869	0.8902
NA18546	1.376	0.6565
NA18547	0.5228	0.0292
NA18548	1.1638	0.4924
NA18549	2.7495	0.9681
NA18550	0.3821	0.0048
NA18552	1.786	0.8454
NA18553	2.0856	0.9054
NA18555	0.8102	0.1945
NA18557	0.9918	0.3415
NA18558	0.8788	0.2484
NA18559	1.2937	0.5962
NA18560	0.7643	0.1538
NA18561	3.5037	0.9916
NA18562	2.18	0.9201
NA18563	2.0233	0.8966
NA18564	1.1822	0.508
NA18565	1.0089	0.355
NA18566	1.3236	0.6202
NA18567	0.7566	0.147
NA18570	0.8669	0.2396
NA18571	2.0842	0.9046
NA18572	1.4982	0.7308
NA18573	1.0447	0.3898
NA18574	0.5189	0.0276
NA18577	1.6014	0.7764
NA18579	1.1593	0.4872
NA18582	0.676	0.0942
NA18591	0.8623	0.236
NA18592	0.8137	0.1969
NA18593	0.4156	0.0084
NA18595	1.4778	0.7196
NA18596	0.6274	0.0687
NA18597	0.8082	0.1937
NA18599	1.1741	0.5016
NA18602	0.7589	0.1506
NA18603	1.2325	0.5495
NA18605	1.1643	0.4936
NA18606	1.5487	0.756
NA18608	0.8236	0.2065
NA18609	1.3696	0.6518
NA18610	1.0002	0.3478
NA18611	0.4799	0.0168
NA18612	0.7081	0.1122
NA18613	0.9776	0.3311
NA18614	1.4057	0.6809
NA18615	0.6224	0.0659
NA18616	2.3331	0.9409
NA18617	0.5915	0.0547
NA18618	2.5373	0.9601
NA18619	2.0734	0.9026
NA18620	1.844	0.8606
NA18621	0.9021	0.2684
NA18622	1.2973	0.6006
NA18623	0.9434	0.3083
NA18624	0.7075	0.1114
NA18625	0.6994	0.1066
NA18626	1.1186	0.4525
NA18627	1.4472	0.7049
NA18628	0.9579	0.3163
NA18629	1.1015	0.4373
NA18630	0.717	0.1198
NA18631	0.8422	0.2192
NA18632	1.0981	0.4349
NA18633	1.76	0.8363
NA18634	0.5561	0.0391
NA18635	1.8537	0.8622
NA18636	0.5751	0.0487
NA18637	0.4779	0.016
NA18638	1.6679	0.8035
NA18639	0.6344	0.0727
NA18640	0.3528	0.0028
